customer_id,customer_name,email,region,segment,created_at
1,Customer_0001,customer_0001@example.com,APAC,enterprise,2024-10-16 03:00:00
2,Customer_0002,customer_0002@example.com,EMEA,consumer,2023-10-09 07:00:00
3,Customer_0003,customer_0003@example.com,APAC,enterprise,2023-04-15 21:00:00
4,Customer_0004,customer_0004@example.com,APAC,consumer,2024-03-08 01:00:00
5,Customer_0005,customer_0005@example.com,APAC,enterprise,2023-08-12 07:00:00
6,Customer_0006,customer_0006@example.com,LATAM,consumer,2023-07-23 22:00:00
7,Customer_0007,customer_0007@example.com,NA,consumer,2024-04-04 18:00:00
8,Customer_0008,customer_0008@example.com,LATAM,business,2023-06-13 22:00:00
9,Customer_0009,customer_0009@example.com,EMEA,business,2023-10-12 04:00:00
10,Customer_0010,customer_0010@example.com,LATAM,consumer,2023-04-15 02:00:00
11,Customer_0011,customer_0011@example.com,NA,consumer,2024-01-03 11:00:00
12,Customer_0012,customer_0012@example.com,APAC,business,2024-04-15 17:00:00
13,Customer_0013,customer_0013@example.com,NA,enterprise,2023-03-22 17:00:00
14,Customer_0014,customer_0014@example.com,EMEA,enterprise,2024-09-25 11:00:00
15,Customer_0015,customer_0015@example.com,EMEA,business,2023-03-13 01:00:00
16,Customer_0016,customer_0016@example.com,APAC,business,2023-03-23 07:00:00
17,Customer_0017,customer_0017@example.com,NA,consumer,2023-10-12 14:00:00
18,Customer_0018,customer_0018@example.com,EMEA,enterprise,2024-01-15 11:00:00
19,Customer_0019,customer_0019@example.com,APAC,enterprise,2023-10-01 22:00:00
20,Customer_0020,customer_0020@example.com,EMEA,consumer,2024-10-12 05:00:00
21,Customer_0021,customer_0021@example.com,NA,enterprise,2024-04-18 12:00:00
22,Customer_0022,customer_0022@example.com,EMEA,enterprise,2024-12-05 17:00:00
23,Customer_0023,customer_0023@example.com,EMEA,consumer,2023-11-29 01:00:00
24,Customer_0024,customer_0024@example.com,NA,consumer,2023-11-20 12:00:00
25,Customer_0025,customer_0025@example.com,NA,consumer,2023-08-05 18:00:00
26,Customer_0026,customer_0026@example.com,LATAM,enterprise,2024-11-02 15:00:00
27,Customer_0027,customer_0027@example.com,NA,consumer,2024-04-14 04:00:00
28,Customer_0028,customer_0028@example.com,NA,enterprise,2023-09-10 23:00:00
29,Customer_0029,customer_0029@example.com,LATAM,business,2024-08-21 13:00:00
30,Customer_0030,customer_0030@example.com,LATAM,consumer,2023-08-13 04:00:00
31,Customer_0031,customer_0031@example.com,EMEA,enterprise,2023-02-18 03:00:00
32,Customer_0032,customer_0032@example.com,LATAM,enterprise,2023-06-13 21:00:00
33,Customer_0033,customer_0033@example.com,LATAM,enterprise,2023-03-07 12:00:00
34,Customer_0034,customer_0034@example.com,NA,enterprise,2024-04-24 16:00:00
35,Customer_0035,customer_0035@example.com,APAC,enterprise,2023-01-12 21:00:00
36,Customer_0036,customer_0036@example.com,NA,consumer,2024-07-03 08:00:00
37,Customer_0037,customer_0037@example.com,EMEA,business,2023-10-28 13:00:00
38,Customer_0038,customer_0038@example.com,NA,enterprise,2023-01-04 23:00:00
39,Customer_0039,customer_0039@example.com,APAC,enterprise,2023-07-02 16:00:00
40,Customer_0040,customer_0040@example.com,EMEA,consumer,2023-11-02 20:00:00
41,Customer_0041,customer_0041@example.com,APAC,enterprise,2024-01-18 05:00:00
42,Customer_0042,customer_0042@example.com,APAC,consumer,2023-11-28 15:00:00
43,Customer_0043,customer_0043@example.com,EMEA,consumer,2024-01-07 09:00:00
44,Customer_0044,customer_0044@example.com,APAC,consumer,2023-09-04 18:00:00
45,Customer_0045,customer_0045@example.com,EMEA,consumer,2024-05-12 02:00:00
46,Customer_0046,customer_0046@example.com,EMEA,business,2024-11-06 15:00:00
47,Customer_0047,customer_0047@example.com,LATAM,consumer,2024-06-24 19:00:00
48,Customer_0048,customer_0048@example.com,EMEA,enterprise,2024-07-06 23:00:00
49,Customer_0049,customer_0049@example.com,NA,business,2023-11-16 12:00:00
50,Customer_0050,customer_0050@example.com,APAC,consumer,2024-06-13 14:00:00
51,Customer_0051,customer_0051@example.com,NA,consumer,2023-08-19 02:00:00
52,Customer_0052,customer_0052@example.com,EMEA,enterprise,2024-08-25 17:00:00
53,Customer_0053,customer_0053@example.com,APAC,enterprise,2023-08-14 00:00:00
54,Customer_0054,customer_0054@example.com,EMEA,consumer,2024-10-08 01:00:00
55,Customer_0055,customer_0055@example.com,APAC,enterprise,2023-02-02 10:00:00
56,Customer_0056,customer_0056@example.com,LATAM,consumer,2023-09-01 08:00:00
57,Customer_0057,customer_0057@example.com,LATAM,consumer,2024-07-06 04:00:00
58,Customer_0058,customer_0058@example.com,EMEA,consumer,2024-04-29 13:00:00
59,Customer_0059,customer_0059@example.com,LATAM,business,2023-04-10 21:00:00
60,Customer_0060,customer_0060@example.com,LATAM,enterprise,2024-03-09 13:00:00
61,Customer_0061,customer_0061@example.com,APAC,consumer,2023-02-25 21:00:00
62,Customer_0062,customer_0062@example.com,NA,consumer,2024-02-17 23:00:00
63,Customer_0063,customer_0063@example.com,EMEA,enterprise,2023-09-12 06:00:00
64,Customer_0064,customer_0064@example.com,LATAM,consumer,2024-04-04 04:00:00
65,Customer_0065,customer_0065@example.com,EMEA,consumer,2023-10-13 14:00:00
66,Customer_0066,customer_0066@example.com,APAC,consumer,2024-03-29 17:00:00
67,Customer_0067,customer_0067@example.com,APAC,consumer,2024-10-29 17:00:00
68,Customer_0068,customer_0068@example.com,LATAM,business,2023-08-31 05:00:00
69,Customer_0069,customer_0069@example.com,LATAM,consumer,2024-05-07 06:00:00
70,Customer_0070,customer_0070@example.com,APAC,business,2023-06-18 12:00:00
71,Customer_0071,customer_0071@example.com,NA,business,2023-09-29 14:00:00
72,Customer_0072,customer_0072@example.com,LATAM,consumer,2024-12-14 23:00:00
73,Customer_0073,customer_0073@example.com,EMEA,consumer,2023-07-14 09:00:00
74,Customer_0074,customer_0074@example.com,APAC,enterprise,2024-08-16 23:00:00
75,Customer_0075,customer_0075@example.com,APAC,enterprise,2023-11-18 01:00:00
76,Customer_0076,customer_0076@example.com,EMEA,consumer,2024-05-03 16:00:00
77,Customer_0077,customer_0077@example.com,EMEA,consumer,2024-06-04 02:00:00
78,Customer_0078,customer_0078@example.com,EMEA,business,2024-09-01 02:00:00
79,Customer_0079,customer_0079@example.com,EMEA,enterprise,2023-05-03 18:00:00
80,Customer_0080,customer_0080@example.com,APAC,business,2024-08-31 01:00:00
81,Customer_0081,customer_0081@example.com,NA,business,2024-11-04 18:00:00
82,Customer_0082,customer_0082@example.com,NA,consumer,2023-07-29 21:00:00
83,Customer_0083,customer_0083@example.com,EMEA,enterprise,2023-09-29 12:00:00
84,Customer_0084,customer_0084@example.com,LATAM,business,2024-10-22 09:00:00
85,Customer_0085,customer_0085@example.com,LATAM,enterprise,2023-03-16 00:00:00
86,Customer_0086,customer_0086@example.com,APAC,enterprise,2024-07-30 03:00:00
87,Customer_0087,customer_0087@example.com,NA,consumer,2023-08-07 16:00:00
88,Customer_0088,customer_0088@example.com,EMEA,business,2023-12-24 02:00:00
89,Customer_0089,customer_0089@example.com,LATAM,enterprise,2023-10-19 05:00:00
90,Customer_0090,customer_0090@example.com,APAC,enterprise,2024-12-21 09:00:00
91,Customer_0091,customer_0091@example.com,APAC,consumer,2024-07-21 09:00:00
92,Customer_0092,customer_0092@example.com,APAC,enterprise,2023-09-28 03:00:00
93,Customer_0093,customer_0093@example.com,NA,business,2024-07-20 04:00:00
94,Customer_0094,customer_0094@example.com,NA,consumer,2024-09-11 06:00:00
95,Customer_0095,customer_0095@example.com,NA,enterprise,2024-12-04 20:00:00
96,Customer_0096,customer_0096@example.com,APAC,consumer,2024-05-15 08:00:00
97,Customer_0097,customer_0097@example.com,NA,consumer,2024-10-11 13:00:00
98,Customer_0098,customer_0098@example.com,EMEA,enterprise,2023-01-04 10:00:00
99,Customer_0099,customer_0099@example.com,LATAM,enterprise,2023-09-26 05:00:00
100,Customer_0100,customer_0100@example.com,APAC,consumer,2024-12-23 13:00:00
101,Customer_0101,customer_0101@example.com,EMEA,enterprise,2023-03-19 22:00:00
102,Customer_0102,customer_0102@example.com,EMEA,business,2023-02-06 11:00:00
103,Customer_0103,customer_0103@example.com,NA,business,2023-05-11 01:00:00
104,Customer_0104,customer_0104@example.com,EMEA,enterprise,2023-02-10 11:00:00
105,Customer_0105,customer_0105@example.com,APAC,business,2023-09-13 21:00:00
106,Customer_0106,customer_0106@example.com,EMEA,consumer,2024-07-27 13:00:00
107,Customer_0107,customer_0107@example.com,LATAM,consumer,2023-06-16 05:00:00
108,Customer_0108,customer_0108@example.com,NA,business,2023-07-03 23:00:00
109,Customer_0109,customer_0109@example.com,EMEA,business,2024-11-16 23:00:00
110,Customer_0110,customer_0110@example.com,APAC,business,2023-06-13 22:00:00
111,Customer_0111,customer_0111@example.com,EMEA,consumer,2023-02-09 15:00:00
112,Customer_0112,customer_0112@example.com,NA,consumer,2024-04-16 11:00:00
113,Customer_0113,customer_0113@example.com,EMEA,business,2023-08-17 00:00:00
114,Customer_0114,customer_0114@example.com,APAC,business,2023-12-03 08:00:00
115,Customer_0115,customer_0115@example.com,LATAM,enterprise,2023-12-26 20:00:00
116,Customer_0116,customer_0116@example.com,APAC,consumer,2024-07-03 10:00:00
117,Customer_0117,customer_0117@example.com,NA,consumer,2023-09-25 05:00:00
118,Customer_0118,customer_0118@example.com,LATAM,business,2023-04-22 19:00:00
119,Customer_0119,customer_0119@example.com,APAC,business,2023-11-18 13:00:00
120,Customer_0120,customer_0120@example.com,NA,consumer,2024-08-13 06:00:00
